campaign_name,adset_name,date,spend,impressions,clicks,ctr,purchases,revenue,roas,creative_type,creative_message,audience_type,platform,country
MEN COMFORTMA LAUNCH,Adset-4 LAL1,2025-01-28,784.31,43599,416.0,0.0096,8,173.0,0.22,Video,Invisible under tees — seamless men briefs.,Broad,Facebook,US
men comfortmax launch,Adset-4 LAL1,2025-01-27,422.34,354458,4518.0,0.0127,80,3421.77,8.1,Video,"Wire‑free ease, cloud‑soft cups — men boxers that fits right.",Broad,Facebook,US
Men Bold Colors Drop,Adset-3 Broad,2025-01-02,378.61,71311,688.0,0.0097,6,151.45,0.4,Video,Stretch that snaps back — durable men boxers.,Broad,Instagram,UK
Women_|_Studio_Sports,Adset-3 LAL2,2025-02-27,402.42,489519,4246.0,0.0087,104,3095.7,7.69,Video,"All‑day comfort, zero pinch — try our women boyshorts!",Broad,Facebook,IN
MEN Signature Soft,Adset-4 LAL2,2025-02-23,152.66,34788,412.0,0.0119,3,81.49,0.53,Carousel,Summer‑ready essentials — sweat‑wicking men athletic briefs.,Broad,Facebook,UK
Men_ComfortMax_Launch,Adset-2 LAL2,2025-02-12,439.18,243251,4062.0,0.0167,49,1675.83,3.82,Carousel,Stretch that snaps back — durable men boxers.,Broad,Facebook,US
Women  |  Studio  Sports,Adset-4 ATC,2025-01-01,219.25,87577,948.0,0.0108,31,1539.01,7.02,Carousel,"Ultra‑soft waistband, no marks — premium women boyshorts.",Broad,Instagram,UK
Men Premium Modal,Adset-4 Retarget,2025-01-31,381.72,300375,3187.0,0.0106,63,1530.85,4.01,Image,Seamless confidence for every day — new men boxers.,Lookalike,Facebook,US
Men   Athleisure Cooling,Adset-2 ATC,2025-03-03,182.87,76947,1654.0,0.0215,59,1854.93,10.14,UGC,No ride‑up guarantee — best‑selling men athletic briefs back in stock.,Retargeting,Instagram,UK
WOMEN_Seamless_Everyday,Adset-5 LAL1,2025-03-25,217.77,76341,482.0,0.0063,12,286.58,1.32,Carousel,Breathable organic cotton that moves with you — limited offer on women sports bras.,Retargeting,Instagram,IN
Women Cotton Classics,Adset-4 LAL2,2025-03-07,111.11,36965,379.0,0.0103,9,474.65,4.27,Carousel,Confidence starts inside — elevate with women bras.,Broad,Instagram,UK
MEN COMFORTMAX LAUNCH,Adset-5 Retarget,2025-03-20,212.04,514117,11124.0,0.0216,359,14857.12,70.07,Video,"All‑day comfort, zero pinch — try our men inner vests!",Lookalike,Facebook,US
MEN  Signature  Soft,Adset-5 WC,2025-01-24,875.54,505868,6389.0,0.0126,27,724.86,0.83,Image,Cooling mesh panels for workouts — men briefs you’ll actually love.,Broad,Facebook,US
Women it & Lift,Adset-4 ATC,2025-03-14,315.62,208624,2988.0,0.0143,40,1757.47,5.57,Video,Hot & comfy: women boyshorts now 20% off — feel the difference.,Retargeting,Instagram,IN
Men  ComfortMax  Launch,Adset-4 LAL1,2025-01-05,198.53,497198,5104.0,0.0103,126,2529.48,12.74,Image,Hot & comfy: men boxers now 20% off — feel the difference.,Broad,Facebook,UK
WOMEN Seamless Everyday,Adset-1 LAL1,2025-01-14,118.06,460702,3940.0,0.0086,71,3248.17,27.51,Image,Seamless confidence for every day — new women bras.,Lookalike,Facebook,US
MEN Signature Soft,Adset-4 LAL2,2025-02-03,547.77,399309,4674.0,0.0117,30,793.52,1.45,Image,"Ultra‑soft waistband, no marks — premium men trunks.",Lookalike,Instagram,US
women  Summer  -nvisible,Adset-1 LAL1,2025-01-02,349.78,241278,4304.0,0.0178,120,5506.14,15.74,Image,Confidence starts inside — elevate with women wire‑free bras.,Retargeting,Instagram,US
women_Summer_Invisible,Adset-3 ATC,2025-03-26,173.96,129030,1767.0,0.0137,49,1720.98,9.89,Image,Seamless confidence for every day — new women boyshorts.,Retargeting,Facebook,IN
Men_ComfortMax_Launch,Adset-2 LAL2,2025-02-14,135.97,368852,4977.0,0.0135,144,2933.62,21.58,Image,"All‑day comfort, zero pinch — try our men boxers!",Retargeting,Instagram,IN
Women | Studio Sports,Adset-3 LAL2,2025-01-25,838.32,59820,648.0,0.0108,25,892.12,1.06,Image,Seamless confidence for every day — new women wire‑free bras.,Broad,Facebook,US
women Summer Invisible,Adset-3 ATC,2025-02-04,526.02,431119,5979.0,0.0139,140,4615.08,8.77,Video,Invisible under tees — seamless women sports bras.,Lookalike,Facebook,US
WOEN  Cotton  Classics,Adset-3 Broad,2025-03-15,654.14,225783,1228.0,0.0054,33,1749.16,2.67,Video,Breathable microfiber that moves with you — limited offer on women sports bras.,Broad,Facebook,US
MEN PREMIUM MODAL,Adset-5 LAL2,2025-01-06,852.71,358144,5314.0,0.0148,173,5702.57,6.69,Image,Cooling mesh panels for workouts — men briefs you’ll actually love.,Broad,Instagram,US
women s-mmer invisible,Adset-1 LAL1,2025-03-11,712.73,103973,883.0,0.0085,18,944.89,1.33,Image,Summer‑ready essentials — sweat‑wicking women panties.,Broad,Facebook,UK
Men ComfortMax Launch,Adset-1 Retarget,2025-01-18,697.57,81860,1228.0,0.015,24,1031.2,1.48,Video,Cooling mesh panels for workouts — men briefs you’ll actually love.,Lookalike,Facebook,US
Men  Premium  Modal,Adset-2 Retarget,2025-03-03,550.55,462734,3315.0,0.0072,92,3826.39,6.95,Video,Breathable bamboo that moves with you — limited offer on men inner vests.,Broad,Instagram,IN
Men Premium Modal,Adset-1 Retarget,2025-03-21,234.23,195521,1945.0,0.01,68,1737.36,7.42,UGC,Summer‑ready essentials — sweat‑wicking men inner vests.,Retargeting,Instagram,IN
Women Fit and Lift,Adset-2 Broad,2025-03-11,1170.16,468347,9756.0,0.0208,91,2763.89,2.36,Carousel,3‑pack deal ends tonight — upgrade your women drawer with wire‑free bras.,Lookalike,Instagram,US
women  Summer  Invisible,Adset-1 LAL1,2025-02-12,197.92,200923,3056.0,0.0152,66,2339.0,11.82,Image,"Ultra‑soft waistband, no marks — premium women sports bras.",Broad,Facebook,US
Women | Studio Sports,Adset-5 ATC,2025-03-25,525.23,303259,2292.0,0.0076,93,5364.87,10.21,Video,"Ultra‑soft waistband, no marks — premium women panties.",Broad,Instagram,IN
women s amless everyday,Adset-3 Broad,2025-02-17,809.32,216483,2360.0,0.0109,70,1767.86,2.18,UGC,Breathable cotton that moves with you — limited offer on women wire‑free bras.,Lookalike,Facebook,US
Men-Athleisure Cooling,Adset-2 ATC,2025-01-05,228.15,82221,1765.0,0.0215,57,1373.63,6.02,Video,Summer‑ready essentials — sweat‑wicking men boxers.,Broad,Facebook,IN
women | studio sports,Adset-1 ATC,2025-03-25,359.64,78500,726.0,0.0092,24,1104.97,3.07,Video,No ride‑up guarantee — best‑selling women panties back in stock.,Lookalike,Instagram,US
Men | Athleisure Cooling,Adset-3 Broad,2025-01-24,747.81,28288,590.0,0.0208,17,653.6,0.87,Video,Doctors recommend breathable bamboo — meet our men boxers.,Lookalike,Instagram,UK
Men | Athleisure Cooling,Adset-3 Broad,2025-03-20,147.39,110399,2293.0,0.0208,61,1762.99,11.96,Carousel,Doctors recommend breathable cotton — meet our men athletic briefs.,Broad,Instagram,IN
WOMEN | STUDIO SPORTS,Adset-2 Broad,2025-02-05,269.8,114368,1553.0,0.0136,51,1138.41,4.22,Video,Doctors recommend breathable microfiber — meet our women boyshorts.,Broad,Facebook,US
WOMEN C tton Classics,Adset-5 ATC,2025-02-02,583.61,224712,2061.0,0.0092,81,2500.21,4.28,Video,"All‑day comfort, zero pinch — try our women boyshorts!",Retargeting,Instagram,US
Men  Premium  Modal,Adset-1 Retarget,2025-02-23,161.37,112763,1388.0,0.0123,30,939.71,5.82,Image,Hot & comfy: men boxers now 20% off — feel the difference.,Broad,Facebook,UK
Women | Studio Sports,Adset-1 ATC,2025-02-28,130.92,105427,654.0,0.0062,20,757.33,5.78,Video,3‑pack deal ends tonight — upgrade your women drawer with sports bras.,Broad,Facebook,US
women Summer Invisible,Adset-1 LAL1,2025-01-17,414.0,318868,3151.0,0.0099,84,1896.9,4.58,Image,Seamless confidence for every day — new women wire‑free bras.,Broad,Facebook,US
men bold clors drop,Adset-2 Retarget,2025-03-07,908.76,297961,3547.0,0.0119,49,1860.51,2.05,UGC,"Push comfort, not wires — everyday men trunks.",Broad,Instagram,UK
Women Fit & Lift,Adset-3 LAL2,2025-01-03,172.54,83744,936.0,0.0112,11,284.25,1.65,Image,No ride‑up guarantee — best‑selling women sports bras back in stock.,Retargeting,Facebook,IN
women Summer Invisible,Adset-2 ATC,2025-02-21,,159806,2055.0,0.0129,47,2325.03,4.79,Image,Summer‑ready essentials — sweat‑wicking women bras.,Retargeting,Facebook,US
WOMEN eamless Everyday,Adset-5 LAL1,2025-02-16,112.03,40709,352.0,0.0086,8,242.22,2.16,Image,"Ultra‑soft waistband, no marks — premium women bras.",Broad,Facebook,UK
women seamless everyday,Adset-5 LAL1,2025-01-02,319.93,227294,1808.0,0.008,50,2558.47,8.0,Video,No ride‑up guarantee — best‑selling women wire‑free bras back in stock.,Lookalike,Facebook,IN
women Summer Invisible,Adset-3 ATC,2025-02-20,337.61,241686,2983.0,0.0123,69,3440.77,10.19,Video,Hot & comfy: women boyshorts now 20% off — feel the difference.,Retargeting,Instagram,US
Men  ComfortMax  Launch,Adset-3 ATC,2025-02-28,389.09,160446,2492.0,0.0155,64,1183.12,3.04,Carousel,"Ultra‑soft waistband, no marks — premium men briefs.",Lookalike,Instagram,UK
WOMEN Seamless Everyday,Adset-2 Broad,2025-01-22,619.13,401304,4543.0,0.0113,153,6938.95,11.21,Image,Confidence starts inside — elevate with women bras.,Broad,Facebook,US
Me   Premium  Modal,Adset-1 Retarget,2025-03-11,653.41,403636,2454.0,0.0061,75,1525.15,2.33,Video,Doctors recommend breathable microfiber — meet our men briefs.,Broad,Instagram,US
Men | Athleisure Cooling,Adset-4 Broad,2025-03-14,1173.37,134861,3043.0,0.0226,127,5432.19,4.63,UGC,Hot & comfy: men inner vests now 20% off — feel the difference.,Broad,Facebook,US
Men  Premium  Modal,Adset-5 LAL2,2025-03-24,490.02,301953,2560.0,0.0085,71,1556.93,3.18,Video,Doctors recommend breathable bamboo — meet our men briefs.,Broad,Facebook,US
WOMEN Cotton Classics,Adset-4 LAL2,2025-02-25,522.93,62541,696.0,0.0111,23,684.29,1.31,UGC,Cooling mesh panels for workouts — women wire‑free bras you’ll actually love.,Broad,Facebook,IN
women | studio sports,Adset-2 Broad,2025-02-20,439.06,447414,4162.0,0.0093,178,7865.49,17.91,Video,3‑pack deal ends tonight — upgrade your women drawer with boyshorts.,Retargeting,Facebook,IN
Women  Fit  &  Lift,Adset-1 ATC,2025-02-21,630.56,94208,1753.0,0.0186,15,333.48,0.53,UGC,Hot & comfy: women panties now 20% off — feel the difference.,Broad,Instagram,US
women | studio sports,Adset-2 Broad,2025-02-17,706.28,381336,3423.0,0.009,153,7778.43,11.01,Image,Doctors recommend breathable microfiber — meet our women panties.,Lookalike,Facebook,UK
Women Summer Invisible,Adset-1 LAL1,2025-02-22,137.16,153473,1776.0,0.0116,34,1821.26,13.28,Carousel,Seamless confidence for every day — new women boyshorts.,Retargeting,Instagram,US
women fit & lift,Adset-3 LAL2,2025-02-27,357.74,59451,1109.0,0.0186,10,569.86,1.59,Image,Doctors recommend breathable bamboo — meet our women bras.,Broad,Instagram,UK
women Summer Invisible,Adset-3 ATC,2025-01-03,1174.67,417741,4982.0,0.0119,68,2346.43,2.0,Video,Seamless confidence for every day — new women panties.,Broad,Instagram,US
women Summer Invisible,Adset-2 ATC,2025-01-05,97.98,106698,1133.0,0.0106,28,1289.58,13.16,Video,Doctors recommend breathable cotton — meet our women wire‑free bras.,Lookalike,Facebook,US
Men Premium Modal,Adset-4 Retarget,2025-02-15,365.35,238835,3184.0,0.0133,118,4509.53,12.34,Carousel,Doctors recommend breathable bamboo — meet our men trunks.,Broad,Facebook,US
Women_Fit_&_Lift,Adset-2 Broad,2025-02-08,114.02,168657,,0.0168,37,1333.14,11.69,Image,3‑pack deal ends tonight — upgrade your women drawer with panties.,Broad,Facebook,US
women_Summer_Invisible,Adset-5 LAL1,2025-02-07,88.17,148017,1961.0,0.0132,48,1513.76,17.17,UGC,Cooling mesh panels for workouts — women sports bras you’ll actually love.,Retargeting,Facebook,US
Men Premium Modal,Adset-3 LAL1,2025-02-18,513.67,130018,1827.0,0.0141,40,737.1,1.43,Image,Seamless confidence for every day — new men athletic briefs.,Lookalike,Instagram,IN
Men Premium Modal,Adset-1 Retarget,2025-02-02,708.6,355227,3819.0,0.0108,129,4460.78,6.3,Carousel,3‑pack deal ends tonight — upgrade your men drawer with trunks.,Lookalike,Instagram,IN
Women | Studio Sports,Adset-1 ATC,2025-03-04,259.04,306812,3971.0,0.0129,237,12669.47,48.91,Video,Confidence starts inside — elevate with women panties.,Retargeting,Instagram,US
Women_Fit_&_Lift,Adset-4 ATC,2025-01-06,280.43,330369,7338.0,0.0222,61,2968.7,10.59,Video,No ride‑up guarantee — best‑selling women boyshorts back in stock.,Broad,Facebook,US
Men | Athleisure Cooling,Adset-3 Broad,2025-03-11,541.24,387816,6684.0,0.0172,393,16343.34,30.2,Image,"All‑day comfort, zero pinch — try our men inner vests!",Retargeting,Facebook,IN
Men_|_Athleisure_Cooling,Adset-2 ATC,2025-02-24,397.21,489067,9478.0,0.0194,322,13540.82,34.09,Carousel,Summer‑ready essentials — sweat‑wicking men trunks.,Broad,Instagram,US
Women | Studio Sports,Adset-2 Broad,2025-03-06,438.7,132431,1515.0,0.0114,42,1945.85,4.44,UGC,Hot & comfy: women panties now 20% off — feel the difference.,Broad,Instagram,US
Men  ComfortMax  Launch,Adset-2 LAL2,2025-01-04,563.98,116132,1904.0,0.0164,50,917.55,1.63,Image,Hot & comfy: men briefs now 20% off — feel the difference.,Broad,Facebook,IN
Women  Fit  &  Lift,Adset-1 ATC,2025-01-27,71.1,18915,,0.0189,3,167.5,2.36,Video,Stretch that snaps back — durable women wire‑free bras.,Broad,Instagram,US
WOMEN_Seamless_Everyday,Adset-1 LAL1,2025-02-25,844.45,388924,3174.0,0.0082,69,3686.64,4.37,UGC,Confidence starts inside — elevate with women panties.,Broad,Facebook,UK
women  Summer  Invisible,Adset-5 LAL1,2025-03-18,496.84,503244,6744.0,0.0134,150,6917.73,13.92,Video,Hot & comfy: women bras now 20% off — feel the difference.,Lookalike,Instagram,UK
WOMEN_Seamless_Everyday,Adset-3 Broad,2025-02-10,180.19,202993,1624.0,0.008,58,1313.64,7.29,Carousel,Invisible under tees — seamless women boyshorts.,Broad,Instagram,IN
women fit & lift,Adset-4 ATC,2025-02-19,685.5,442453,5842.0,0.0132,54,1594.65,2.33,Video,No ride‑up guarantee — best‑selling women bras back in stock.,Retargeting,Facebook,US
women Summer Invisible,Adset-3 ATC,2025-01-21,750.06,232150,2740.0,0.0118,57,1336.58,1.78,Image,Seamless confidence for every day — new women bras.,Broad,Facebook,US
Women  |  Studio  Sports,Adset-5 ATC,2025-03-09,503.78,450855,5114.0,0.0113,246,6796.62,13.49,Image,Breathable bamboo that moves with you — limited offer on women boyshorts.,Broad,Facebook,US
WOMEN | STUDIO SPORTS,Adset-1 ATC,2025-01-16,1088.16,445504,5923.0,0.0133,217,8499.98,7.81,UGC,"Push comfort, not wires — everyday women wire‑free bras.",Broad,Facebook,UK
Men Bold Colors Drop,Adset-4 Broad,2025-03-30,194.15,137470,906.0,0.0066,0,377.1,1.94,Video,Doctors recommend breathable organic cotton — meet our men trunks.,Broad,Instagram,US
Women  |  Studio  Sports,Adset-5 ATC,2025-02-17,417.28,146429,1363.0,0.0093,50,2846.95,6.82,Image,Hot & comfy: women wire‑free bras now 20% off — feel the difference.,Broad,Instagram,IN
women Summer Invisible,Adset-3 ATC,2025-03-24,266.29,78980,1136.0,0.0144,30,1148.17,4.31,Image,3‑pack deal ends tonight — upgrade your women drawer with panties.,Retargeting,Instagram,UK
Men Comfortmax Launch,Adset-1 Retarget,2025-02-03,742.66,375014,6447.0,0.0172,114,4991.08,6.72,UGC,Confidence starts inside — elevate with men athletic briefs.,Broad,Facebook,US
WOMEN Cotton Classics,Adset-5 ATC,2025-02-19,228.23,485828,4027.0,0.0083,145,4253.7,18.64,Video,No ride‑up guarantee — best‑selling women sports bras back in stock.,Lookalike,Instagram,US
WOMEN COTTON CLASSICS,Adset-1 Retarget,2025-02-02,53.64,231740,,0.0111,77,2068.67,38.57,Image,Hot & comfy: women bras now 20% off — feel the difference.,Broad,Instagram,US
WOMEN Seamless Everyday,Adset-2 Broad,2025-02-24,295.83,120479,1437.0,0.0119,34,1196.81,4.05,UGC,"All‑day comfort, zero pinch — try our women boyshorts!",Broad,Instagram,US
men comfortmax launch,Adset-2 LAL2,2025-01-20,122.96,172167,3472.0,0.0202,106,2820.27,22.94,Video,"Ultra‑soft waistband, no marks — premium men boxers.",Broad,Facebook,US
WOMEN_Cotton_Classics,Adset-2 WC,2025-01-08,61.7,144806,2007.0,0.0139,73,3815.85,61.85,Video,Confidence starts inside — elevate with women bras.,Broad,Facebook,US
women | studio sports,Adset-3 LAL2,2025-02-18,426.35,206068,2890.0,0.014,99,4257.63,9.99,Video,"Ultra‑soft waistband, no marks — premium women panties.",Broad,Facebook,IN
Women Fit & Lift,Adset-2 Broad,2025-01-08,984.07,474250,8869.0,0.0187,105,4365.62,4.44,Video,"Ultra‑soft waistband, no marks — premium women boyshorts.",Broad,Instagram,UK
men comfortmax launch,Adset-2 LAL2,2025-03-31,528.75,337613,5212.0,0.0154,126,4330.47,8.19,UGC,Hot & comfy: men trunks now 20% off — feel the difference.,Lookalike,Instagram,US
MEN PREMIUM MODAL,Adset-3 LAL1,2025-03-06,165.21,310919,1288.0,0.0041,28,1100.31,6.66,Video,Breathable cotton that moves with you — limited offer on men athletic briefs.,Broad,Facebook,IN
Women Cotton Classics,Adset-1 Retarget,2025-03-03,1270.42,448624,2700.0,0.006,62,3250.75,2.56,Video,3‑pack deal ends tonight — upgrade your women drawer with wire‑free bras.,Broad,Facebook,IN
Men Premium Modal,Adset-4 Retarget,2025-03-16,561.09,190700,2332.0,0.0122,65,2376.74,4.24,Video,Stretch that snaps back — durable men trunks.,Lookalike,Instagram,UK
WOMEN Cotton Classics,Adset-4 LAL2,2025-02-10,458.07,102073,1033.0,0.0101,40,1029.21,2.25,Carousel,Doctors recommend breathable modal — meet our women bras.,Retargeting,Instagram,IN
women fit & lift,Adset-2 Broad,2025-02-22,633.65,502885,11063.0,0.022,103,5666.43,8.94,Image,Summer‑ready essentials — sweat‑wicking women sports bras.,Broad,Facebook,IN
WOMEN_Seamless_Everyday,Adset-2 Broad,2025-02-14,730.49,365044,3819.0,0.0105,108,4752.9,6.51,UGC,Invisible under tees — seamless women boyshorts.,Broad,Facebook,US
Men Bold Colors Drop,Adset-3 Broad,2025-01-15,,273416,,0.0127,49,1982.0,2.9,UGC,"All‑day comfort, zero pinch — try our men athletic briefs!",Retargeting,Facebook,US
Women_Fit_&_Lift,Adset-4 ATC,2025-02-22,851.47,488319,6860.0,0.014,71,3206.28,3.77,Video,3‑pack deal ends tonight — upgrade your women drawer with wire‑free bras.,Broad,Instagram,UK
women cotton classics,Adset-3 Broad,2025-01-08,82.56,308890,3842.0,0.0124,112,4569.13,55.34,Image,"Ultra‑soft waistband, no marks — premium women bras.",Lookalike,Instagram,IN
WOMEN  Cotton  Classics,Adset-1 Retarget,2025-01-06,874.95,82048,1199.0,0.0146,43,2029.85,2.32,Image,"Push comfort, not wires — everyday women boyshorts.",Broad,Instagram,US
Women | Studio Sports,Adset-4 ATC,2025-01-03,443.44,195997,3179.0,0.0162,112,2466.62,5.56,Image,"Push comfort, not wires — everyday women bras.",Broad,Facebook,US
Men  ComfortMax  Launch,Adset-2 LAL2,2025-01-31,402.15,417092,6987.0,0.0168,186,6905.4,17.17,Carousel,Hot & comfy: men briefs now 20% off — feel the difference.,Lookalike,Instagram,IN
Women_|_Studio_Sports,Adset-1 ATC,2025-03-14,63.08,18439,238.0,0.0129,8,449.34,7.12,UGC,Summer‑ready essentials — sweat‑wicking women panties.,Retargeting,Instagram,US
WOMEN Cotton Classics,Adset-2 WC,2025-03-20,983.93,399694,2021.0,0.0051,84,2076.77,2.11,Video,Breathable cotton that moves with you — limited offer on women sports bras.,Broad,Facebook,US
MEN SIGNATURE SOFT,Adset-5 WC,2025-01-19,547.73,453451,7231.0,0.0159,46,853.04,1.56,UGC,Hot & comfy: men briefs now 20% off — feel the difference.,Lookalike,Facebook,IN
MEN Signature Soft,Adset-5 WC,2025-01-18,263.33,387015,4078.0,0.0105,30,800.75,3.04,Image,No ride‑up guarantee — best‑selling men athletic briefs back in stock.,Lookalike,Instagram,IN
Men-Athleisure Cooling,Adset-3 Broad,2025-02-07,159.72,410303,8130.0,0.0198,274,9954.84,62.33,UGC,"Ultra‑soft waistband, no marks — premium men briefs.",Retargeting,Instagram,UK
Men Bold Colors Drop,Adset-1 Broad,2025-02-23,894.85,254627,1368.0,0.0054,15,592.23,0.66,Video,"Ultra‑soft waistband, no marks — premium men boxers.",Broad,Instagram,IN
ME- PREMIUM MODAL,Adset-5 LAL2,2025-01-22,444.45,92535,1084.0,0.0117,22,637.02,1.43,Video,"Wire‑free ease, cloud‑soft cups — men briefs that fits right.",Broad,Instagram,UK
women Summer Invisible,Adset-3 ATC,2025-01-10,1061.9,189507,1680.0,0.0089,21,848.56,0.8,Image,Cooling mesh panels for workouts — women panties you’ll actually love.,Broad,Instagram,US
Men-Athleisure Cooling,Adset-3 Broad,2025-02-06,496.72,167159,2975.0,0.0178,85,3339.73,6.72,Image,Cooling mesh panels for workouts — men trunks you’ll actually love.,Lookalike,Instagram,US
Men  Premium  Modal,Adset-1 Retarget,2025-03-02,443.15,126359,1624.0,0.0128,45,1457.28,3.29,Image,No ride‑up guarantee — best‑selling men athletic briefs back in stock.,Lookalike,Facebook,US
Men Premium Modal,Adset-3 LAL1,2025-03-07,65.35,123434,1038.0,0.0084,27,744.36,11.39,UGC,"All‑day comfort, zero pinch — try our men boxers!",Broad,Instagram,IN
WOMEN  Cotton  Classics,Adset-2 WC,2025-01-09,633.79,222494,2461.0,0.0111,72,2500.35,3.95,UGC,Stretch that snaps back — durable women sports bras.,Broad,Instagram,UK
Men Premium Modal,Adset-5 LAL2,2025-01-16,205.8,48649,566.0,0.0116,14,447.9,2.18,Carousel,No ride‑up guarantee — best‑selling men athletic briefs back in stock.,Broad,Facebook,US
Men | Athleisur- Cooling,Adset-2 ATC,2025-01-07,262.67,80792,1648.0,0.0204,64,1536.74,5.85,Image,Cooling mesh panels for workouts — men trunks you’ll actually love.,Retargeting,Facebook,US
Women_Fit_&_Lift,Adset-3 LAL2,2025-02-14,123.71,52588,794.0,0.0151,6,152.5,1.23,Image,"Wire‑free ease, cloud‑soft cups — women bras that fits right.",Broad,Facebook,UK
men comfortmax launch,Adset-2 LAL2,2025-02-24,199.53,132672,2181.0,0.0164,64,1579.22,7.91,Image,Summer‑ready essentials — sweat‑wicking men boxers.,Broad,Facebook,UK
Men_ComfortMax_Launch,Adset-4 LAL1,2025-02-08,584.93,306685,7451.0,0.0243,180,4612.93,7.89,Video,Breathable cotton that moves with you — limited offer on men briefs.,Lookalike,Facebook,US
Men_ComfortMax_Launch,Adset-2 LAL2,2025-03-27,143.94,409270,6394.0,0.0156,130,2647.63,18.39,UGC,"Push comfort, not wires — everyday men athletic briefs.",Broad,Instagram,UK
men signa ure soft,Adset-1 Retarget,2025-01-30,660.94,379431,5509.0,0.0145,38,1613.41,2.44,Carousel,Cooling mesh panels for workouts — men briefs you’ll actually love.,Lookalike,Instagram,UK
WOMEN FIT & LIFT,Adset-3 LAL2,2025-03-06,796.28,75274,1113.0,0.0148,13,641.81,0.81,Video,"Push comfort, not wires — everyday women sports bras.",Lookalike,Facebook,US
Men Comfortmax Lau ch,Adset-1 Retarget,2025-02-15,165.12,368092,8592.0,0.0233,184,3733.47,22.61,UGC,Confidence starts inside — elevate with men inner vests.,Lookalike,Facebook,US
WOMEN Cotton Classics,Adset-3 Broad,2025-01-05,145.72,427797,4317.0,0.0101,223,7415.5,50.89,Video,Hot & comfy: women bras now 20% off — feel the difference.,Retargeting,Instagram,UK
Women | Studio Sports,Adset-5 ATC,2025-03-28,,118796,903.0,0.0076,40,1422.41,2.11,Video,"Push comfort, not wires — everyday women bras.",Broad,Instagram,US
Men  Bold  Colors  Drop,Adset-2 Retarget,2025-01-28,880.98,182858,1279.0,0.007,13,483.1,0.55,UGC,Hot & comfy: men boxers now 20% off — feel the difference.,Lookalike,Instagram,UK
Men Bold Colors Drop,Adset-1 Broad,2025-02-28,398.81,83304,325.0,0.0039,0,110.88,0.28,Video,Breathable bamboo that moves with you — limited offer on men athletic briefs.,Broad,Instagram,US
WOMEN SEAMLESS EVERYDAY,Adset-2 Broad,2025-01-05,79.36,467877,4314.0,0.0092,103,5290.78,66.67,Image,Confidence starts inside — elevate with women boyshorts.,Lookalike,Facebook,US
WOMEN SEAMLESS EVERYDAY,Adset-2 Broad,2025-03-23,151.18,266314,1559.0,0.0059,49,1488.8,9.85,Video,3‑pack deal ends tonight — upgrade your women drawer with bras.,Broad,Instagram,US
women | studio sports,Adset-5 ATC,2025-01-19,329.91,127146,1457.0,0.0115,33,815.68,2.47,Image,Seamless confidence for every day — new women boyshorts.,Lookalike,Instagram,US
Women_|_Studio_Sports,Adset-1 ATC,2025-01-07,490.25,107413,916.0,0.0085,31,1645.5,3.36,Video,Seamless confidence for every day — new women bras.,Lookalike,Instagram,IN
WOMEN Seamless Everyday,Adset-5 LAL1,2025-02-22,253.95,81276,462.0,0.0057,16,463.58,1.83,Image,Doctors recommend breathable microfiber — meet our women sports bras.,Broad,Instagram,UK
Men ComfortMax Launch,Adset-4 LAL1,2025-02-15,155.76,288604,2445.0,0.0085,48,1875.7,12.04,Video,Invisible under tees — seamless men trunks.,Broad,Facebook,US
Men Premium Modal,Adset-2 Retarget,2025-03-20,208.36,81317,949.0,0.0117,0,688.13,3.3,Video,Hot & comfy: men boxers now 20% off — feel the difference.,Lookalike,Instagram,US
MEN  Signature  Soft,Adset-1 Retarget,2025-03-19,445.63,403552,4865.0,0.0121,33,1285.53,2.88,Video,Invisible under tees — seamless men athletic briefs.,Retargeting,Facebook,IN
WOMEN  Cotton  Classics,Adset-4 LAL2,2025-01-20,601.7,204464,2027.0,0.0099,41,1885.31,3.13,Image,Invisible under tees — seamless women panties.,Broad,Instagram,US
men comfortmax launch,Adset-2 LAL2,2025-03-01,277.11,281834,2617.0,0.0093,74,1963.68,7.09,Video,Breathable microfiber that moves with you — limited offer on men inner vests.,Broad,Instagram,IN
WOMEN  Cotton  Classics,Adset-3 Broad,2025-01-10,179.58,60695,847.0,0.014,26,944.29,5.26,UGC,"Wire‑free ease, cloud‑soft cups — women wire‑free bras that fits right.",Broad,Instagram,US
WOMEN_Seamless_Everyday,Adset-5 LAL1,2025-03-29,271.93,41736,364.0,0.0087,13,293.41,1.08,Image,Stretch that snaps back — durable women wire‑free bras.,Retargeting,Instagram,US
Men Premium Modal,Adset-2 Retarget,2025-02-07,452.74,261995,2604.0,0.0099,47,1325.89,2.93,Image,"All‑day comfort, zero pinch — try our men athletic briefs!",Broad,Facebook,UK
MEN SIGNATURE SOFT,Adset-3 LAL1,2025-03-25,385.28,263425,4148.0,0.0157,22,801.45,2.08,Video,Confidence starts inside — elevate with men briefs.,Lookalike,Instagram,IN
w men cotton classics,Adset-2 WC,2025-01-14,426.71,48688,427.0,0.0088,11,371.39,0.87,Carousel,"All‑day comfort, zero pinch — try our women panties!",Lookalike,Facebook,IN
women  Summer  Invisible,Adset-2 ATC,2025-03-24,765.28,276367,3113.0,0.0113,44,2180.32,2.85,Image,Breathable cotton that moves with you — limited offer on women sports bras.,Lookalike,Facebook,IN
